gene.names	gene.type	pvals	fpvals	sm.network.interactions	bg.network.interactions	log.fpval	page.rank
TFAP4	TF	0.0459935110962522	0.0441694549371565	14	1390	1.35487796001817	0.00804478448267533
NFE2	gene	0.0475830955815739	0.046352114622782	7	540	1.33393044818493	0.00438294646785407
ARNTL	TF	0.0512123585265501	0.0494799197533321	11	1030	1.30557101338231	0.00628354524234308
NKX3-1	TF	0.0586909552014955	0.0570874872792501	8	685	1.24345907215835	0.00586342782162301
FOXD3	gene	0.0661555668821453	0.0632037596333638	19	2146	1.19925708723248	0.0119430677421047
LHX3	TF	0.0657673376084764	0.0644549703899256	5	355	1.19074358677162	0.00335727234349851
PRDM14	TF	0.0708282590996981	0.0689483660549714	8	714	1.1614760213187	0.00519125267032455
TEAD4	TF	0.0783254612347355	0.0764412430557453	7	608	1.11667225924312	0.00434990569654427
GRB2	gene	0.0800383523935167	0.0775211188972491	11	1117	1.11057996754405	0.00673790294807514
ATOH1	TF	0.0809843507716307	0.0788823490987002	8	736	1.1030201646818	0.00512120111044989
HEY1	gene	0.0925203291363531	0.0905534492443302	6	512	1.04309500245374	0.00401181385818755
CITED1	gene	0.0919393416387262	0.0910116859479252	2	84	1.04090284046066	0.00198531917747994
PKD1	gene	0.0923887833466953	0.0918587743870133	1	16	1.03687935339347	0.00152981393846237
SETD2	gene	0.0923887833466953	0.0918587743870133	1	16	1.03687935339347	0.00145216643120186
TFAP2C	TF	0.0997768788270206	0.0956690333370354	19	2271	1.0192286142313	0.0107709947706564
GJB5	gene	0.097464877504075	0.0958791030675709	4	287	1.01827603736916	0.0029802160207844
ERG	TF	0.101035816650139	0.0966487099627115	21	2560	1.01480393842606	0.0115097108653448
STK3	gene	0.103512876798439	0.100415635361307	11	1174	0.998198659477254	0.00643801826297946
PKD2	gene	0.11039389691768	0.106806995502871	13	1462	0.971400301532183	0.00819928984769
NKX6-1	TF	0.111750070818525	0.107133947443601	20	2452	0.970072892834313	0.0113961828336719
PLK4	gene	0.110629920189837	0.108129941684291	7	664	0.966054031229535	0.00457595205367844
TEAD1	TF	0.116178801517304	0.111039676193508	23	2900	0.954521813347955	0.0128733860005957
NKX2-5	TF	0.130173323765835	0.128159946531676	4	320	0.892247682447438	0.00287722150742821
MYF5	TF	0.133901114045377	0.13099501197487	7	699	0.882745241084943	0.00455751272470041
ERF	gene	0.153044107307387	0.150753777167515	4	341	0.821731797712134	0.00292276541344579
PAX8	TF	0.159374779768378	0.156056111691547	7	734	0.806719218206992	0.00463556133895719
ESRRB	TF	0.164629536956942	0.160219731798777	11	1294	0.79528399958996	0.00611415789032427
ESRRB	gene	0.164629536956942	0.160219731798777	11	1294	0.79528399958996	0.00611415789032427
FOXA1	TF	0.165814632483459	0.161860589201566	9	1016	0.790858883030808	0.00536342517687571
HS6ST1	gene	0.16625243546464	0.16345016382782	5	479	0.786614639785463	0.00378639547780474
MYCN	TF	0.170412312476196	0.166378759669507	9	1023	0.778902117631335	0.00548690064227824
PITX1	TF	0.170139095067024	0.166655499475035	7	748	0.778180350456776	0.00449407373854458
ITGA4	gene	0.183215312110493	0.180201794258994	5	496	0.744240889090025	0.00367647742139661
TTPA	gene	0.210463764368956	0.209339271095193	1	39	0.679149292348844	0.00149467145704493
PRDM1	gene	0.242630587313929	0.236333415908358	13	1716	0.62647486779384	0.00740837080294009
CDX4	gene	0.244650542417282	0.241412213531908	4	416	0.617240761847065	0.00451035506424971
NEUROD1	TF	0.254571310186409	0.251777368890465	3	289	0.598983309207106	0.00275069137502491
LHX2	TF	0.272381679752871	0.268419592018626	5	578	0.571185788074414	0.00337510249953997
TFEB	gene	0.280821801703031	0.278507101298469	2	173	0.555163726826263	0.00194710063480559
HEY2	gene	0.293611220478455	0.289963987399912	4	453	0.537655936737874	0.0030985484515824
KRT19	gene	0.296871575775826	0.293776105588419	3	315	0.531983530646184	0.00307384981824604
TFAP2B	TF	0.305347695504418	0.297853000713544	14	1968	0.525998020252834	0.00858433917907449
EGFR	gene	0.359531117869767	0.350248520943518	18	2684	0.455623690010566	0.0103939165592166
ZNF263	TF	0.359190481878333	0.355723051743469	3	353	0.448887990533638	0.00245638971061569
LEF1	gene	0.379191267301001	0.370272784652997	16	2399	0.431478207770666	0.00894398208076483
PLAC1	gene	0.37765487510752	0.373456540081872	4	515	0.427759930664677	0.00314272385766268
WNT2	gene	0.394973729893881	0.391331706736912	3	375	0.407454962978385	0.00239111353301563
PLG	gene	0.402778055784299	0.396050149134633	9	1319	0.4022498188384	0.00581460133510628
CDX2	gene	0.411240681434508	0.408312994346846	2	233	0.389006798663015	0.00190343766948446
FBXW8	gene	0.415525629447387	0.408719267002232	9	1334	0.388574889189493	0.00530887646873088
ZFP36L1	gene	0.460430313751425	0.450933134067967	16	2529	0.345887852042754	0.00884484053041533
SOCS3	gene	0.457801503514329	0.455798449525337	1	101	0.341227156478451	0.00148453036286193
BIRC6	gene	0.469566399472978	0.464395823987104	5	746	0.333111694246796	0.00340450011334724
ADM	gene	0.470846839651156	0.466930806330296	3	423	0.330747472015014	0.00290908852094975
PLCD1	gene	0.474084944493761	0.470966252542516	2	264	0.327010211469101	0.00238466226889339
SPDEF	TF	0.478957648790855	0.474348132126096	4	591	0.323902805231768	0.00358397373695527
EOMES	TF	0.481565594832884	0.477621670868693	3	430	0.320915976423964	0.00248845924566958
EOMES	gene	0.481565594832884	0.477621670868693	3	430	0.320915976423964	0.00248845924566958
CASP8	gene	0.488928320416615	0.481806946515408	9	1421	0.317126942794375	0.00615815416616726
E2F8	gene	0.493921015004814	0.486786761281535	9	1427	0.312661241412717	0.00551866587438515
MAP2K1	gene	0.502686541304147	0.498695739030262	3	444	0.302164342476545	0.00247847947078059
MYBL2	TF	0.512414936746873	0.509215476779826	2	284	0.293098405140278	0.00263149584098212
E2F7	gene	0.531183675312937	0.522484487200604	13	2142	0.28192659942397	0.00725292135404776
SENP2	gene	0.570135726119369	0.566069641740781	3	491	0.247130135661233	0.00249635735393992
OLIG2	TF	0.579747842059071	0.574437328849319	5	846	0.240757345948001	0.00353984617237942
HAND1	gene	0.589516200658351	0.584790760494872	4	681	0.232999497708527	0.00316942055144663
FZD5	gene	0.606833224664262	0.604615522070409	1	154	0.218520707533667	0.00147804429577425
NANOG	TF	0.662155189492222	0.659938750071637	1	179	0.180496370125228	0.00148181861919859
IL10	gene	0.721607728492482	0.717839301488594	3	618	0.143972767857929	0.00240073486592875
GCM1	gene	0.726792164160751	0.724647375815416	1	214	0.139873276176971	0.00151462047780954
PDGFB	gene	0.776289637739163	0.772820636484761	3	677	0.111921289553488	0.00251394012410623
NRK	gene	0.802592164729966	0.799883040746615	2	497	0.0969735110977911	0.00207951802134982
CYR61	gene	0.843699579585023	0.841940884961839	1	306	0.0747184004672726	0.001497307777908
CSF2	gene	0.851111067838157	0.849391613348429	1	314	0.0708920314245486	0.00152800166117423
ZFX	TF	0.874393998548929	0.872812934831962	1	342	0.0590788262550488	0.00146946209493056
SNAI1	gene	0.935230989895612	0.934152834258039	1	451	0.0295820641929351	0.00195215697649618
ESX1	gene	1	1	0	3	0	0.00099370652534418
FLII	TF	1	1	0	31	0	0.00099370652534418
HOXD13	TF	1	1	0	225	0	0.00099370652534418
LIF	gene	1	1	0	149	0	0.00099370652534418
NODAL	gene	1	1	0	249	0	0.00099370652534418
OVOL2	gene	1	1	0	1	0	0.00099370652534418
PLCD3	gene	1	1	0	2	0	0.00099370652534418
RBPJ	gene	1	1	0	34	0	0.00099370652534418
RBPJ	TF	1	1	0	34	0	0.00099370652534418
RSPO3	gene	1	1	0	2	0	0.00099370652534418
TEAD3	TF	1	1	0	97	0	0.00099370652534418
WNT7B	gene	1	1	0	3	0	0.00099370652534418
ZFAT	gene	1	1	0	1	0	0.00099370652534418
ZNF711	TF	1	1	0	4	0	0.00099370652534418
