#Extended Data Table 4. Differentially H3K27ac acetylated loci between 2nd and 3rd trimester CTBs														
	seqnames	start	end	width	strand	Conc	Conc_second.CTB	Conc_third.CTB	Fold	absFC	p.value	FDR	nglogP	nglogFDR
6461	chr12	123716817	123719612	2796	*	8.99	8.05	9.56	-1.51	1.51	2.52E-06	1.02E-05	5.598599459	4.991399828
15984	chr22	42015924	42018909	2986	*	10.32	9.38	10.89	-1.51	1.51	2.54E-06	1.02E-05	5.595166283	4.991399828
24437	chr8	129120056	129122531	2476	*	8.96	9.53	8.01	1.51	1.51	2.75E-06	1.10E-05	5.560667306	4.958607315
22792	chr7	98698308	98703273	4966	*	9.45	10.02	8.51	1.51	1.51	2.99E-06	1.17E-05	5.524328812	4.931814138
24886	chr9	37988742	37991436	2695	*	8.5	7.55	9.07	-1.51	1.51	3.04E-06	1.19E-05	5.517126416	4.924453039
6272	chr12	110403837	110406761	2925	*	9.37	9.93	8.42	1.51	1.51	3.05E-06	1.19E-05	5.515700161	4.924453039
10641	chr17	65300462	65303305	2844	*	9.73	10.3	8.79	1.51	1.51	3.05E-06	1.19E-05	5.515700161	4.924453039
16766	chr3	68688130	68690618	2489	*	8.87	9.44	7.92	1.51	1.51	3.18E-06	1.23E-05	5.49757288	4.910094889
15450	chr21	40167554	40180815	13262	*	12.06	12.63	11.12	1.51	1.51	3.21E-06	1.24E-05	5.493494968	4.906578315
7547	chr14	65887552	65889482	1931	*	9.12	9.68	8.17	1.51	1.51	3.34E-06	1.28E-05	5.476253533	4.89279003
13212	chr2	64456948	64462115	5168	*	8.79	7.85	9.36	-1.51	1.51	3.68E-06	1.39E-05	5.434152181	4.8569852
7063	chr13	103247399	103251402	4004	*	10.15	9.2	10.71	-1.51	1.51	3.83E-06	1.44E-05	5.416801226	4.841637508
24982	chr9	75203728	75206478	2751	*	8.32	7.37	8.89	-1.51	1.51	4.13E-06	1.53E-05	5.384049948	4.815308569
19532	chr5	82419769	82422696	2928	*	8.75	9.31	7.8	1.51	1.51	4.29E-06	1.58E-05	5.367542708	4.801342913
13981	chr2	174914256	174919123	4868	*	10.04	9.09	10.61	-1.51	1.51	4.30E-06	1.58E-05	5.366531544	4.801342913
11672	chr19	9250470	9252001	1532	*	8.58	7.64	9.15	-1.51	1.51	4.33E-06	1.59E-05	5.363512104	4.798602876
7505	chr14	63970798	63972670	1873	*	8.17	8.74	7.23	1.51	1.51	4.35E-06	1.60E-05	5.361510743	4.795880017
13942	chr2	172084213	172088545	4333	*	9.84	8.89	10.4	-1.51	1.51	6.00E-06	2.09E-05	5.22184875	4.679853714
1103	chr1	85317230	85318211	982	*	8.07	8.63	7.12	1.51	1.51	6.31E-06	2.18E-05	5.199970641	4.661543506
11420	chr18	67998818	68005613	6796	*	10.3	9.36	10.87	-1.51	1.51	7.09E-06	2.41E-05	5.149353765	4.617982957
17712	chr3	190298132	190316269	18138	*	12.61	13.18	11.67	1.51	1.51	7.71E-06	2.58E-05	5.112945622	4.588380294
21715	chr6	144585057	144587905	2849	*	9.13	9.7	8.19	1.51	1.51	8.03E-06	2.68E-05	5.095284455	4.571865206
22363	chr7	40097048	40100409	3362	*	9.76	10.33	8.81	1.51	1.51	8.67E-06	2.86E-05	5.061980903	4.543633967
8415	chr15	64752116	64754474	2359	*	8.44	7.5	9	-1.51	1.51	9.57E-06	3.11E-05	5.019088062	4.507239611
1696	chr1	155499306	155502618	3313	*	8.15	7.2	8.71	-1.51	1.51	1.18E-05	3.70E-05	4.928117993	4.431798276
12464	chr19	53398851	53402737	3887	*	10	9.05	10.56	-1.51	1.51	1.36E-05	4.20E-05	4.866461092	4.37675071
18137	chr4	53727857	53731459	3603	*	8.86	7.91	9.42	-1.51	1.51	1.36E-05	4.20E-05	4.866461092	4.37675071
17979	chr4	25449723	25453002	3280	*	10.57	11.14	9.62	1.51	1.51	1.47E-05	4.48E-05	4.832682665	4.348721986
15349	chr21	33278546	33282622	4077	*	9.09	9.65	8.15	1.51	1.51	1.57E-05	4.74E-05	4.804100348	4.324221658
16988	chr3	111654302	111656959	2658	*	8.35	8.91	7.4	1.51	1.51	1.59E-05	4.80E-05	4.798602876	4.318758763
8455	chr15	66763462	66766203	2742	*	8.54	9.1	7.59	1.51	1.51	1.62E-05	4.87E-05	4.790484985	4.312471039
24382	chr8	125984718	125986167	1450	*	8.06	7.12	8.63	-1.51	1.51	1.72E-05	5.13E-05	4.764471553	4.289882635
17889	chr4	8555453	8565077	9625	*	11.35	11.92	10.41	1.51	1.51	1.84E-05	5.46E-05	4.735182177	4.262807357
24701	chr9	14237309	14239858	2550	*	8.46	7.52	9.03	-1.51	1.51	2.06E-05	5.98E-05	4.68613278	4.223298816
24446	chr8	129566590	129568721	2132	*	8.85	7.9	9.41	-1.51	1.51	2.06E-05	5.99E-05	4.68613278	4.222573178
5139	chr11	123323545	123329904	6360	*	10.79	11.36	9.84	1.51	1.51	2.19E-05	6.32E-05	4.659555885	4.199282922
5250	chr12	6063130	6067448	4319	*	10.51	11.08	9.57	1.51	1.51	2.56E-05	7.21E-05	4.591760035	4.142064735
24918	chr9	41953707	41955193	1487	*	9.26	8.32	9.83	-1.51	1.51	2.64E-05	7.41E-05	4.578396073	4.130181792
7	chr1	1014201	1016090	1890	*	9.61	10.17	8.67	1.51	1.51	2.71E-05	7.57E-05	4.567030709	4.12090412
16636	chr3	52570599	52572158	1560	*	8.36	7.42	8.93	-1.51	1.51	2.79E-05	7.78E-05	4.554395797	4.109020403
10832	chr17	78082874	78085980	3107	*	7.96	7.02	8.53	-1.51	1.51	2.93E-05	8.10E-05	4.53313238	4.091514981
13720	chr2	131937791	131939192	1402	*	8.08	8.65	7.14	1.51	1.51	3.00E-05	8.27E-05	4.522878745	4.08249449
15833	chr22	36204437	36208762	4326	*	8.77	9.34	7.83	1.51	1.51	3.17E-05	8.67E-05	4.498940738	4.061980903
22094	chr7	6910395	6913020	2626	*	9.49	10.06	8.55	1.51	1.51	3.39E-05	9.19E-05	4.469800302	4.036684489
25650	chr9	132538975	132546134	7160	*	9.95	10.51	9.01	1.51	1.51	3.91E-05	0.000104	4.407823243	3.982966661
2833	chr10	8870632	8872858	2227	*	8.51	9.08	7.56	1.51	1.51	3.91E-05	0.000104	4.407823243	3.982966661
11492	chr19	1571201	1575243	4043	*	9.66	10.22	8.71	1.51	1.51	3.93E-05	0.000104	4.40560745	3.982966661
20574	chr6	17720480	17723806	3327	*	8.62	7.67	9.18	-1.51	1.51	6.45E-05	0.000162	4.190440285	3.790484985
10882	chr17	80446672	80448556	1885	*	8.02	8.58	7.07	1.51	1.51	7.50E-05	0.000185	4.124938737	3.732828272
281	chr1	19703550	19705708	2159	*	8.46	9.03	7.52	1.51	1.51	8.70E-05	0.000211	4.060480747	3.675717545
16748	chr3	64127205	64132161	4957	*	10.14	10.7	9.2	1.51	1.51	0.000137	0.000314	3.863279433	3.503070352
5455	chr12	22986480	22989872	3393	*	10.11	10.68	9.17	1.51	1.51	0.000189	0.000419	3.723538196	3.377785977
14328	chr2	217968726	217971886	3161	*	8.82	9.38	7.88	1.51	1.51	0.000238	0.000516	3.623423043	3.287350298
9408	chr16	67730033	67734438	4406	*	8.58	9.14	7.63	1.51	1.51	0.000273	0.000583	3.563837353	3.234331445
5730	chr12	52444075	52446108	2034	*	8.37	7.42	8.93	-1.51	1.51	0.000339	0.000707	3.469800302	3.150580586
3040	chr10	29867256	29869088	1833	*	8.52	9.09	7.58	1.51	1.51	0.000528	0.00106	3.277366077	2.974694135
7171	chr14	20955682	20959229	3548	*	8.49	7.55	9.06	-1.51	1.51	0.000765	0.00147	3.116338565	2.832682665
13117	chr2	49929411	49931221	1811	*	8.09	8.66	7.15	1.51	1.51	0.000862	0.00164	3.064492734	2.785156152
13246	chr2	65831626	65833607	1982	*	8.16	8.73	7.22	1.51	1.51	0.00115	0.00213	2.93930216	2.671620397
18768	chr4	159130558	159133000	2443	*	9.14	8.18	9.71	-1.52	1.52	3.15E-07	1.89E-06	6.501689446	5.723538196
3254	chr10	63800561	63804673	4113	*	11	11.57	10.04	1.52	1.52	3.27E-07	1.94E-06	6.485452247	5.71219827
12252	chr19	44122812	44124769	1958	*	8.52	7.57	9.09	-1.52	1.52	3.58E-07	2.09E-06	6.446116973	5.679853714
13961	chr2	173291412	173295555	4144	*	9.35	8.4	9.92	-1.52	1.52	5.71E-07	3.06E-06	6.243363892	5.514278574
14421	chr2	228173438	228178573	5136	*	9.78	10.35	8.83	1.52	1.52	5.75E-07	3.08E-06	6.240332155	5.511449283
10134	chr17	29184790	29187043	2254	*	9.22	8.27	9.79	-1.52	1.52	5.98E-07	3.17E-06	6.223298816	5.498940738
3466	chr10	91086943	91088403	1461	*	8.69	7.74	9.26	-1.52	1.52	6.69E-07	3.46E-06	6.174573882	5.460923901
19668	chr5	106911724	106914548	2825	*	9.57	10.14	8.61	1.52	1.52	8.36E-07	4.13E-06	6.077793723	5.384049948
22686	chr7	86847443	86851081	3639	*	9.47	8.53	10.04	-1.52	1.52	8.61E-07	4.23E-06	6.064996849	5.373659633
23051	chr7	123196695	123198723	2029	*	10.04	9.08	10.61	-1.52	1.52	8.64E-07	4.25E-06	6.063486258	5.37161107
14086	chr2	190646028	190650143	4116	*	9.99	9.03	10.56	-1.52	1.52	8.86E-07	4.33E-06	6.052566278	5.363512104
22516	chr7	63249418	63251981	2564	*	8.92	7.96	9.49	-1.52	1.52	1.06E-06	5.01E-06	5.974694135	5.300162274
10711	chr17	73145614	73162785	17172	*	11.78	12.35	10.82	1.52	1.52	1.23E-06	5.63E-06	5.910094889	5.249491605
5379	chr12	12965508	12967434	1927	*	8.99	8.04	9.56	-1.52	1.52	1.23E-06	5.64E-06	5.910094889	5.248720896
24868	chr9	36424293	36428050	3758	*	8.71	9.28	7.76	1.52	1.52	1.43E-06	6.39E-06	5.844663963	5.194499142
17574	chr3	177193793	177197813	4021	*	9.79	8.84	10.36	-1.52	1.52	1.55E-06	6.81E-06	5.809668302	5.166852888
12799	chr2	25702781	25706286	3506	*	9.83	8.88	10.4	-1.52	1.52	1.76E-06	7.58E-06	5.754487332	5.120330794
25451	chr9	117670618	117671855	1238	*	7.97	7.02	8.54	-1.52	1.52	1.80E-06	7.74E-06	5.744727495	5.111259039
5656	chr12	49637813	49641439	3627	*	10.12	10.68	9.16	1.52	1.52	1.88E-06	8.03E-06	5.725842151	5.095284455
22498	chr7	55182706	55191301	8596	*	10.82	9.87	11.39	-1.52	1.52	1.94E-06	8.21E-06	5.71219827	5.085656843
22463	chr7	48038631	48041044	2414	*	9.88	10.45	8.93	1.52	1.52	2.05E-06	8.57E-06	5.688246139	5.067019178
1688	chr1	155242078	155245143	3066	*	8.58	7.63	9.15	-1.52	1.52	2.29E-06	9.41E-06	5.640164518	5.026410377
22666	chr7	80115557	80119604	4048	*	9.19	9.76	8.24	1.52	1.52	2.29E-06	9.42E-06	5.640164518	5.025949097
16925	chr3	105316312	105318597	2286	*	9.28	9.85	8.33	1.52	1.52	2.32E-06	9.49E-06	5.634512015	5.022733788
9506	chr16	73035108	73037845	2738	*	8.4	8.96	7.45	1.52	1.52	2.33E-06	9.52E-06	5.632644079	5.021363052
3126	chr10	38145441	38147652	2212	*	9.95	9	10.52	-1.52	1.52	2.43E-06	9.86E-06	5.614393726	5.006123085
14564	chr2	238614499	238621479	6981	*	10.2	9.25	10.77	-1.52	1.52	2.51E-06	1.01E-05	5.600326279	4.995678626
8096	chr15	37295904	37298700	2797	*	9.37	9.94	8.41	1.52	1.52	2.57E-06	1.03E-05	5.590066877	4.987162775
19904	chr5	137799378	137801622	2245	*	9.62	8.67	10.18	-1.52	1.52	2.95E-06	1.16E-05	5.530177984	4.935542011
15886	chr22	38078650	38083244	4595	*	10.18	9.23	10.75	-1.52	1.52	2.99E-06	1.17E-05	5.524328812	4.931814138
1414	chr1	115123122	115125053	1932	*	9.25	8.3	9.82	-1.52	1.52	3.11E-06	1.21E-05	5.507239611	4.91721463
16199	chr3	12716924	12724363	7440	*	11.54	12.11	10.59	1.52	1.52	3.37E-06	1.29E-05	5.472370099	4.88941029
8969	chr16	10415411	10419384	3974	*	8.61	9.18	7.66	1.52	1.52	3.44E-06	1.32E-05	5.463441557	4.879426069
5489	chr12	26526052	26528410	2359	*	8.53	7.58	9.1	-1.52	1.52	3.59E-06	1.36E-05	5.444905551	4.866461092
1146	chr1	88860589	88862203	1615	*	8.23	8.8	7.28	1.52	1.52	3.67E-06	1.39E-05	5.435333936	4.8569852
3602	chr10	103824385	103826185	1801	*	8.42	7.47	8.98	-1.52	1.52	3.73E-06	1.40E-05	5.428291168	4.853871964
21457	chr6	118971281	118973673	2393	*	8.98	8.03	9.55	-1.52	1.52	3.99E-06	1.48E-05	5.399027104	4.829738285
24438	chr8	129151266	129155696	4431	*	10.4	10.96	9.45	1.52	1.52	4.09E-06	1.52E-05	5.388276692	4.818156412
6948	chr13	76257361	76261396	4036	*	9.31	8.36	9.88	-1.52	1.52	4.43E-06	1.62E-05	5.353596274	4.790484985
14794	chr20	25233405	25235231	1827	*	7.94	6.99	8.51	-1.52	1.52	4.55E-06	1.66E-05	5.341988603	4.779891912
14823	chr20	30794286	30796440	2155	*	8.42	7.47	8.99	-1.52	1.52	4.85E-06	1.75E-05	5.314258261	4.756961951
11010	chr18	9822813	9828894	6082	*	10.09	9.14	10.66	-1.52	1.52	5.53E-06	1.95E-05	5.257274869	4.709965389
17421	chr3	155139801	155144711	4911	*	9.73	10.3	8.78	1.52	1.52	5.57E-06	1.96E-05	5.254144805	4.707743929
15254	chr21	16257790	16263527	5738	*	10.73	11.29	9.78	1.52	1.52	5.67E-06	1.99E-05	5.246416941	4.701146924
20643	chr6	25138037	25139848	1812	*	8.38	7.42	8.94	-1.52	1.52	6.21E-06	2.15E-05	5.2069084	4.66756154
3069	chr10	31266181	31270534	4354	*	9.12	8.17	9.68	-1.52	1.52	6.47E-06	2.23E-05	5.189095719	4.651695137
6957	chr13	77427237	77429205	1969	*	8.17	8.74	7.21	1.52	1.52	7.05E-06	2.40E-05	5.151810883	4.619788758
22222	chr7	25018216	25021709	3494	*	9.33	8.38	9.9	-1.52	1.52	8.36E-06	2.78E-05	5.077793723	4.555955204
21454	chr6	117922377	117924662	2286	*	9.28	8.33	9.85	-1.52	1.52	9.51E-06	3.09E-05	5.021819483	4.510041521
12463	chr19	53370291	53372604	2314	*	9.1	8.15	9.67	-1.52	1.52	9.96E-06	3.21E-05	5.001740662	4.493494968
1673	chr1	154994176	155000276	6101	*	10.11	10.67	9.16	1.52	1.52	1.01E-05	3.25E-05	4.995678626	4.488116639
14176	chr2	203140412	203143868	3457	*	9.05	9.62	8.09	1.52	1.52	1.05E-05	3.37E-05	4.978810701	4.472370099
9014	chr16	14394963	14395833	871	*	8.54	9.1	7.58	1.52	1.52	1.06E-05	3.38E-05	4.974694135	4.4710833
22055	chr7	5588466	5598554	10089	*	11.47	12.04	10.52	1.52	1.52	1.12E-05	3.56E-05	4.950781977	4.448550002
4399	chr11	60480554	60481925	1372	*	8.12	8.69	7.16	1.52	1.52	1.21E-05	3.81E-05	4.91721463	4.419075024
11453	chr19	510075	512435	2361	*	8.83	7.88	9.4	-1.52	1.52	1.32E-05	4.10E-05	4.879426069	4.387216143
6872	chr13	51217809	51220267	2459	*	8.41	8.98	7.46	1.52	1.52	1.69E-05	5.04E-05	4.772113295	4.297569464
18021	chr4	38868742	38870687	1946	*	8.81	9.38	7.86	1.52	1.52	1.79E-05	5.30E-05	4.747146969	4.27572413
23460	chr8	8432601	8435290	2690	*	8.64	7.69	9.21	-1.52	1.52	1.90E-05	5.58E-05	4.721246399	4.253365801
862	chr1	52107907	52111271	3365	*	9.48	10.05	8.53	1.52	1.52	3.00E-05	8.28E-05	4.522878745	4.081969663
116	chr1	8529118	8532618	3501	*	8.73	9.3	7.78	1.52	1.52	3.15E-05	8.63E-05	4.501689446	4.063989204
22529	chr7	64540829	64542564	1736	*	9	8.04	9.57	-1.52	1.52	3.71E-05	9.94E-05	4.43062609	4.002613616
3092	chr10	33286303	33290173	3871	*	9.81	10.38	8.86	1.52	1.52	3.73E-05	1.00E-04	4.428291168	4
20416	chr6	6964950	6974547	9598	*	10.72	11.29	9.77	1.52	1.52	3.84E-05	0.000102	4.415668776	3.991399828
21228	chr6	86177088	86181136	4049	*	9.54	10.11	8.59	1.52	1.52	4.22E-05	0.000111	4.374687549	3.954677021
20223	chr5	173884187	173888426	4240	*	9.34	8.39	9.91	-1.52	1.52	5.09E-05	0.000131	4.293282218	3.882728704
2757	chr10	3938306	3941914	3609	*	8.6	9.17	7.65	1.52	1.52	5.69E-05	0.000145	4.244887734	3.838631998
6879	chr13	52204086	52206389	2304	*	8.21	8.78	7.26	1.52	1.52	5.95E-05	0.000151	4.225483034	3.821023053
20234	chr5	174399471	174400735	1265	*	8.29	8.86	7.34	1.52	1.52	6.04E-05	0.000153	4.218963061	3.815308569
25036	chr9	81637297	81639265	1969	*	8.38	7.43	8.95	-1.52	1.52	8.04E-05	0.000196	4.094743951	3.707743929
2213	chr1	204269359	204274036	4678	*	10.22	9.27	10.79	-1.52	1.52	8.63E-05	0.000209	4.063989204	3.679853714
21026	chr6	48792970	48796312	3343	*	9.82	10.39	8.87	1.52	1.52	0.000117	0.000274	3.931814138	3.562249437
8426	chr15	65194631	65198285	3655	*	8.22	8.79	7.27	1.52	1.52	0.000131	0.000301	3.882728704	3.521433504
20413	chr6	6847844	6852249	4406	*	8.98	9.54	8.02	1.52	1.52	0.000163	0.000367	3.787812396	3.435333936
23952	chr8	60760228	60762396	2169	*	8.06	8.63	7.11	1.52	1.52	0.000195	0.000432	3.709965389	3.364516253
7060	chr13	101958681	101961623	2943	*	8.44	9.01	7.49	1.52	1.52	0.000208	0.000457	3.681936665	3.3400838
17971	chr4	25096720	25098927	2208	*	8.72	9.29	7.77	1.52	1.52	0.000222	0.000484	3.653647026	3.315154638
12513	chr19	55454849	55456694	1846	*	8.18	8.75	7.23	1.52	1.52	0.000317	0.000666	3.498940738	3.176525771
14300	chr2	216329057	216332412	3356	*	9.06	9.63	8.11	1.52	1.52	0.000515	0.00103	3.288192771	2.987162775
6563	chr13	24553382	24555297	1916	*	7.99	8.55	7.04	1.52	1.52	0.000548	0.00109	3.261219442	2.962573502
18664	chr4	143394471	143396831	2361	*	9.13	9.7	8.18	1.52	1.52	0.00185	0.00328	2.732828272	2.484126156
2064	chr1	186442055	186444230	2176	*	8.94	9.51	7.99	1.52	1.52	0.00234	0.00407	2.630784143	2.390405591
16488	chr3	44802112	44804316	2205	*	9.22	8.26	9.79	-1.53	1.53	3.02E-07	1.83E-06	6.519993057	5.73754891
8742	chr15	90808045	90810385	2341	*	9.78	8.83	10.35	-1.53	1.53	3.26E-07	1.94E-06	6.4867824	5.71219827
16476	chr3	42971250	42973169	1920	*	8.26	8.83	7.3	1.53	1.53	5.73E-07	3.06E-06	6.241845378	5.514278574
20512	chr6	13327728	13329559	1832	*	8.65	7.69	9.22	-1.53	1.53	5.88E-07	3.13E-06	6.230622674	5.504455662
18881	chr4	177240216	177242685	2470	*	9.39	8.43	9.97	-1.53	1.53	5.88E-07	3.13E-06	6.230622674	5.504455662
8431	chr15	65459864	65468640	8777	*	11.35	11.92	10.39	1.53	1.53	6.11E-07	3.22E-06	6.21395879	5.492144128
74	chr1	6613391	6614877	1487	*	8.14	7.18	8.71	-1.53	1.53	6.14E-07	3.23E-06	6.211831629	5.490797478
13939	chr2	172012153	172019113	6961	*	10.37	9.41	10.94	-1.53	1.53	6.27E-07	3.28E-06	6.202732459	5.484126156
4641	chr11	68622614	68628321	5708	*	10.61	11.18	9.66	1.53	1.53	6.52E-07	3.39E-06	6.185752404	5.469800302
17378	chr3	150460327	150482835	22509	*	12.42	11.47	12.99	-1.53	1.53	8.12E-07	4.03E-06	6.090443971	5.394694954
5315	chr12	8752130	8754693	2564	*	9.5	10.07	8.54	1.53	1.53	1.00E-06	4.80E-06	6	5.318758763
9284	chr16	50401633	50403487	1855	*	9.15	8.18	9.72	-1.53	1.53	1.16E-06	5.37E-06	5.935542011	5.270025714
16080	chr22	50681719	50684617	2899	*	9.66	8.71	10.23	-1.53	1.53	1.17E-06	5.42E-06	5.931814138	5.266000713
2120	chr1	200255929	200258962	3034	*	9.99	10.56	9.02	1.53	1.53	1.24E-06	5.66E-06	5.906578315	5.247183569
23713	chr8	29973431	29977033	3603	*	8.5	9.07	7.54	1.53	1.53	1.29E-06	5.88E-06	5.88941029	5.230622674
8637	chr15	78832122	78834245	2124	*	9.68	8.72	10.25	-1.53	1.53	1.37E-06	6.18E-06	5.863279433	5.209011525
21868	chr6	158748190	158751171	2982	*	8.28	7.32	8.85	-1.53	1.53	1.46E-06	6.51E-06	5.835647144	5.186419011
15331	chr21	32590666	32593464	2799	*	9.17	9.74	8.21	1.53	1.53	1.46E-06	6.51E-06	5.835647144	5.186419011
3957	chr11	2900923	2907054	6132	*	8.95	9.52	8	1.53	1.53	1.61E-06	7.05E-06	5.793174124	5.151810883
10345	chr17	42091396	42092964	1569	*	7.94	6.98	8.51	-1.53	1.53	1.68E-06	7.28E-06	5.774690718	5.137868621
14974	chr20	43580952	43589670	8719	*	10.71	9.75	11.28	-1.53	1.53	1.72E-06	7.46E-06	5.764471553	5.127261173
3083	chr10	32665550	32669209	3660	*	9.5	8.54	10.07	-1.53	1.53	2.04E-06	8.53E-06	5.690369833	5.069050969
19053	chr5	14189046	14191992	2947	*	8.48	9.05	7.52	1.53	1.53	2.16E-06	8.96E-06	5.665546249	5.04769199
937	chr1	57033117	57047181	14065	*	11.05	10.09	11.62	-1.53	1.53	2.64E-06	1.06E-05	5.578396073	4.974694135
5082	chr11	118887213	118890668	3456	*	9.53	8.56	10.1	-1.53	1.53	2.97E-06	1.17E-05	5.527243551	4.931814138
24834	chr9	34999102	35004036	4935	*	10.92	11.49	9.96	1.53	1.53	3.13E-06	1.22E-05	5.504455662	4.913640169
14207	chr2	204929501	204931957	2457	*	9.17	9.74	8.21	1.53	1.53	3.41E-06	1.31E-05	5.467245621	4.882728704
8850	chr15	102191388	102193498	2111	*	9.23	8.27	9.8	-1.53	1.53	3.49E-06	1.33E-05	5.457174573	4.876148359
13341	chr2	74114457	74116085	1629	*	8.51	9.09	7.55	1.53	1.53	3.50E-06	1.33E-05	5.455931956	4.876148359
5105	chr11	120205744	120209065	3322	*	9.23	8.27	9.8	-1.53	1.53	3.61E-06	1.37E-05	5.442492798	4.863279433
18530	chr4	119605904	119607477	1574	*	8.89	7.93	9.46	-1.53	1.53	3.71E-06	1.40E-05	5.43062609	4.853871964
13513	chr2	100036028	100038536	2509	*	8.65	9.22	7.69	1.53	1.53	3.97E-06	1.48E-05	5.401209493	4.829738285
22497	chr7	55171286	55182448	11163	*	9.82	8.86	10.39	-1.53	1.53	4.13E-06	1.53E-05	5.384049948	4.815308569
3633	chr10	105126920	105129252	2333	*	8.49	7.54	9.06	-1.53	1.53	4.53E-06	1.65E-05	5.343901798	4.782516056
18345	chr4	85796552	85801797	5246	*	10.21	10.78	9.25	1.53	1.53	4.68E-06	1.69E-05	5.329754147	4.772113295
22257	chr7	28678393	28688516	10124	*	12.51	13.08	11.55	1.53	1.53	4.73E-06	1.71E-05	5.325138859	4.76700389
13074	chr2	47140197	47144344	4148	*	10.18	9.22	10.75	-1.53	1.53	4.86E-06	1.75E-05	5.313363731	4.756961951
4636	chr11	68529433	68535814	6382	*	9.94	10.51	8.98	1.53	1.53	5.11E-06	1.83E-05	5.2915791	4.73754891
11920	chr19	19573179	19576169	2991	*	8.91	7.95	9.48	-1.53	1.53	5.27E-06	1.87E-05	5.278189385	4.728158393
22745	chr7	94259929	94263565	3637	*	9.48	8.52	10.05	-1.53	1.53	5.37E-06	1.90E-05	5.270025714	4.721246399
18836	chr4	169774383	169777593	3211	*	8.06	8.64	7.1	1.53	1.53	7.65E-06	2.56E-05	5.116338565	4.591760035
11069	chr18	19806293	19810506	4214	*	8.96	9.53	8	1.53	1.53	8.11E-06	2.70E-05	5.090979146	4.568636236
25057	chr9	84136625	84139956	3332	*	10.01	10.58	9.05	1.53	1.53	9.05E-06	2.97E-05	5.043351421	4.527243551
14461	chr2	231648746	231653444	4699	*	9.71	10.28	8.75	1.53	1.53	9.23E-06	3.02E-05	5.034798299	4.519993057
15023	chr20	46549489	46553922	4434	*	10.12	10.69	9.16	1.53	1.53	9.30E-06	3.04E-05	5.031517051	4.517126416
25248	chr9	98078881	98080502	1622	*	8.37	7.41	8.94	-1.53	1.53	1.05E-05	3.36E-05	4.978810701	4.473660723
18674	chr4	145219299	145225367	6069	*	10.56	9.6	11.14	-1.53	1.53	1.08E-05	3.44E-05	4.966576245	4.463441557
